Type: GO, Count: 4, Max: 100, Icon: Vat_Pham_0 (UnityEngine.Sprite)
Type: NONE, Count: 0, Max: 100, Icon: 
Type: NONE, Count: 0, Max: 100, Icon: 
Type: NONE, Count: 0, Max: 100, Icon: 
Type: NONE, Count: 0, Max: 100, Icon: 
Type: NONE, Count: 0, Max: 100, Icon: 
Type: NONE, Count: 0, Max: 100, Icon: 
Type: NONE, Count: 0, Max: 100, Icon: 
Type: NONE, Count: 0, Max: 100, Icon: 
Type: NONE, Count: 0, Max: 100, Icon: 
Type: NONE, Count: 0, Max: 100, Icon: 
Type: NONE, Count: 0, Max: 100, Icon: 
Type: NONE, Count: 0, Max: 100, Icon: 
Type: NONE, Count: 0, Max: 100, Icon: 
Type: NONE, Count: 0, Max: 100, Icon: 
Type: NONE, Count: 0, Max: 100, Icon: 
Type: NONE, Count: 0, Max: 100, Icon: 
Type: NONE, Count: 0, Max: 100, Icon: 
Type: NONE, Count: 0, Max: 100, Icon: 
Type: NONE, Count: 0, Max: 100, Icon: 
Type: NONE, Count: 0, Max: 100, Icon: 
Type: NONE, Count: 0, Max: 100, Icon: 
Type: NONE, Count: 0, Max: 100, Icon: 
Type: NONE, Count: 0, Max: 100, Icon: 
Type: NONE, Count: 0, Max: 100, Icon: 
Type: NONE, Count: 0, Max: 100, Icon: 
Type: NONE, Count: 0, Max: 100, Icon: 
